iter	Passed	Remaining
125	6716	19937
126	6774	19896
127	6828	19844
128	6878	19783
129	6929	19723
130	6985	19677
131	7051	19658
132	7103	19601
133	7159	19555
134	7217	19514
135	7269	19456
136	7320	19396
137	7376	19348
138	7435	19310
139	7489	19258
140	7551	19227
141	7615	19200
142	7689	19196
143	7778	19230
144	7850	19220
145	7911	19182
146	7983	19170
147	8059	19169
148	8113	19112
149	8166	19054
150	8222	19004
151	8281	18959
152	8345	18927
153	8412	18899
154	8492	18901
155	8557	18869
156	8627	18848
157	8693	18818
158	8753	18774
159	8820	18744
160	8897	18733
161	8956	18686
162	9019	18647
163	9071	18586
164	9130	18537
165	9184	18480
166	9238	18422
167	9292	18363
168	9344	18302
169	9399	18247
170	9458	18197
171	9517	18148
172	9575	18099
173	9638	18058
174	9699	18012
175	9764	17975
176	9817	17915
177	9875	17865
178	9937	17820
179	9992	17763
180	10047	17707
181	10098	17643
182	10155	17592
183	10206	17528
184	10259	17468
185	10311	17407
186	10364	17348
187	10414	17284
188	10464	17219
189	10520	17164
190	10572	17103
191	10620	17036
192	10669	16971
193	10718	16907
194	10769	16845
195	10822	16786
196	10874	16725
197	10922	16659
198	10970	16593
199	11017	16526
200	11066	16461
201	11116	16400
202	11172	16346
203	11232	16297
204	11285	16240
205	11338	16182
206	11393	16126
207	11453	16079
208	11503	16016
209	11559	15963
210	11618	15913
211	11674	15859
212	11738	15816
213	11799	15770
214	11864	15727
215	11915	15667
216	11967	15607
217	12019	15548
218	12077	15496
219	12134	15444
220	12192	15391
221	12247	15337
222	12298	15276
223	12350	15217
224	12406	15163
225	12469	15118
226	12534	15074
227	12606	15039
228	12667	14990
229	12725	14938
230	12777	14879
231	12829	14820
232	12884	14764
233	12935	14704
234	12987	14645
235	13044	14592
236	13095	14531
237	13153	14479
238	13208	14423
239	13260	14365
240	13311	14305
241	13367	14250
242	13426	14200
243	13486	14150
244	13539	14092
245	13595	14038
246	13649	13980
247	13719	13940
248	13785	13896
249	13844	13844
250	13893	13782
251	13950	13729
252	14018	13685
253	14071	13627
254	14125	13571
255	14186	13521
256	14252	13475
257	14313	13425
258	14377	13378
259	14437	13327
260	14499	13276
261	14549	13216
262	14609	13165
263	14673	13117
264	14762	13091
265	14833	13048
266	14899	13001
267	14949	12941
268	15005	12886
269	15060	12829
270	15113	12771
271	15162	12710
272	15210	12647
273	15260	12587
274	15309	12525
275	15365	12470
276	15418	12412
277	15467	12351
278	15522	12295
279	15568	12232
280	15619	12173
281	15673	12116
282	15727	12059
283	15777	11999
284	15826	11939
285	15876	11879
286	15924	11818
287	15986	11767
288	16051	11718
289	16118	11672
290	16184	11623
291	16253	11578
292	16351	11551
293	16417	11503
294	16476	11449
295	16536	11396
296	16598	11345
297	16661	11293
298	16731	11247
299	16796	11197
300	16853	11142
301	16912	11088
302	16970	11033
303	17036	10984
304	17105	10936
305	17178	10891
306	17252	10846
307	17318	10795
308	17374	10739
309	17433	10684
310	17493	10630
311	17551	10576
312	17612	10522
313	17673	10469
314	17740	10418
315	17802	10365
316	17856	10308
317	17909	10249
318	17978	10200
319	18046	10151
320	18115	10101
321	18170	10044
322	18223	9986
323	18279	9929
324	18336	9873
325	18404	9823
326	18469	9771
327	18528	9716
328	18585	9659
329	18645	9605
330	18710	9552
331	18764	9495
332	18815	9436
333	18868	9377
334	18922	9320
335	18988	9268
336	19056	9217
337	19131	9169
338	19207	9122
339	19302	9083
340	19365	9029
341	19429	8976
342	19512	8931
343	19567	8873
344	19629	8818
345	19690	8763
346	19746	8706
347	19807	8651
348	19868	8596
349	19927	8540
350	19980	8481
351	20037	8424
352	20106	8372
353	20167	8317
354	20226	8261
355	20281	8203
356	20334	8145
357	20390	8087
358	20446	8030
359	20503	7973
360	20558	7915
361	20622	7861
362	20693	7809
363	20755	7754
364	20815	7699
365	20869	7640
366	20923	7582
367	20979	7525
368	21032	7466
369	21087	7409
370	21140	7350
371	21195	7292
372	21249	7235
373	21300	7176
374	21351	7117
375	21401	7058
376	21454	6999
377	21503	6940
378	21557	6882
379	21607	6823
380	21662	6765
381	21722	6710
382	21785	6655
383	21843	6598
384	21902	6542
385	21960	6485
386	22018	6429
387	22076	6372
388	22133	6315
389	22187	6257
390	22239	6199
391	22293	6142
392	22342	6083
393	22394	6024
394	22447	5967
395	22504	5910
396	22555	5851
397	22604	5793
398	22667	5737
399	22736	5684
400	22795	5627
401	22855	5571
402	22921	5517
403	22989	5462
404	23049	5406
405	23109	5350
406	23175	5295
407	23235	5239
408	23303	5184
409	23363	5128
410	23423	5072
411	23483	5015
412	23536	4958
413	23594	4901
414	23652	4844
415	23714	4788
416	23771	4731
417	23829	4674
418	23886	4617
419	23934	4559
420	23987	4501
421	24040	4443
422	24092	4385
423	24146	4328
424	24201	4270
425	24253	4213
426	24312	4156
427	24374	4100
428	24436	4044
429	24495	3987
430	24547	3929
431	24596	3871
432	24645	3813
433	24701	3756
434	24753	3698
435	24804	3641
436	24855	3583
437	24905	3525
438	24955	3467
439	25007	3410
440	25061	3352
441	25126	3297
442	25183	3240
443	25241	3183
444	25296	3126
445	25356	3070
446	25415	3013
447	25468	2956
448	25520	2898
449	25576	2841
450	25627	2784
451	25680	2727
452	25731	2669
453	25783	2612
454	25837	2555
455	25889	2498
456	25942	2441
457	25996	2383
458	26046	2326
459	26099	2269
460	26148	2212
461	26204	2155
462	26292	2101
463	26356	2044
464	26415	1988
465	26467	1931
466	26536	1875
467	26596	1818
468	26659	1762
469	26726	1705
470	26783	1649
471	26845	1592
472	26912	1536
473	26981	1480
474	27045	1423
475	27114	1367
476	27181	1310
477	27246	1254
478	27301	1196
479	27356	1139
480	27407	1082
481	27466	1025
482	27528	968
483	27592	912
484	27657	855
485	27722	798
486	27786	741
487	27847	684
488	27901	627
489	27954	570
490	28009	513
491	28060	456
492	28109	399
493	28163	342
494	28219	285
495	28274	228
496	28325	170
497	28375	113
498	28421	56
499	28470	0
