iter	RMSE
123	0.2988012376
124	0.2983191705
125	0.2979178621
126	0.2974789114
127	0.2969643319
128	0.2965930343
129	0.2962224102
130	0.2958366068
131	0.2954875927
132	0.2951921817
133	0.2947606791
134	0.2942139935
135	0.2938502748
136	0.2931484127
137	0.29276103
138	0.2924423685
139	0.2920523564
140	0.2915568166
141	0.2911693467
142	0.2908432914
143	0.2904862183
144	0.2899890275
145	0.2896975275
146	0.2893530764
147	0.2889127331
148	0.2884953172
149	0.2882527912
150	0.2877608567
151	0.2874075967
152	0.2870788937
153	0.2866431048
154	0.2862051191
155	0.2858707084
156	0.2856167085
157	0.2852349923
158	0.284737846
159	0.2844309907
160	0.2840924778
161	0.2836677356
162	0.2833883747
163	0.2829453572
164	0.2826289729
165	0.2823664262
166	0.2818756624
167	0.2814554271
168	0.2810430086
169	0.2807067711
170	0.2802201688
171	0.2798090827
172	0.2794966981
173	0.2791546375
174	0.2788465893
175	0.2783259545
176	0.2780758583
177	0.2775778136
178	0.2773169465
179	0.2769585632
180	0.2767035095
181	0.2762905645
182	0.2757456694
183	0.2752656258
184	0.274943481
185	0.2745888813
186	0.2742127826
187	0.2738369039
188	0.2735378235
189	0.2729770499
190	0.2725698962
191	0.272184999
192	0.2719385226
193	0.2717069144
194	0.2713275276
195	0.2710861189
196	0.2707993676
197	0.2705516673
198	0.2702207835
199	0.2698930104
200	0.2695838725
201	0.2693120609
202	0.2689201379
203	0.2687011915
204	0.2684132823
205	0.2681184289
206	0.267850612
207	0.2675222742
208	0.2673201546
209	0.267045218
210	0.2667377719
211	0.2663359476
212	0.2659808591
213	0.2656607741
214	0.2653709778
215	0.2651436501
216	0.2648618878
217	0.2646419732
218	0.2642880781
219	0.2638123236
220	0.2634807806
221	0.2631454916
222	0.2628023589
223	0.2623801617
224	0.2620399399
225	0.2616872906
226	0.2613707505
227	0.261052694
228	0.2606690517
229	0.2603497432
230	0.2600774743
231	0.2596897146
232	0.259407171
233	0.259188447
234	0.2589254262
235	0.2585620693
236	0.2581725983
237	0.2578309564
238	0.2576031996
239	0.2572577073
240	0.2569731302
241	0.2564710144
242	0.256050311
243	0.2556746856
244	0.255278358
245	0.2548520949
246	0.2545932153
247	0.2542899805
248	0.2539075241
249	0.2535837162
250	0.2531709023
251	0.2529078103
252	0.2526788672
253	0.2523773739
254	0.2521139509
255	0.2518781028
256	0.2515324138
257	0.2511334661
258	0.2508490132
259	0.2504302458
260	0.2502025705
261	0.2499151517
262	0.2493636591
263	0.2490322176
264	0.2487730636
265	0.2485177244
266	0.2481729381
267	0.2477492974
268	0.24745477
269	0.2471808482
270	0.2468738839
271	0.2465777964
272	0.2462326204
273	0.2458911712
274	0.2456007332
275	0.2453351637
276	0.2448469115
277	0.2446035041
278	0.2443582163
279	0.2440887047
280	0.2439124731
281	0.2436832407
282	0.243433483
283	0.2431760507
284	0.2429048889
285	0.2426287948
286	0.2424420784
287	0.2421540722
288	0.2418738046
289	0.2416326107
290	0.2413453782
291	0.2410603101
292	0.2408088781
293	0.2404662203
294	0.2401405627
295	0.2397853118
296	0.2395527877
297	0.2392612463
298	0.2390378695
299	0.23873444
300	0.2382874667
301	0.2379867404
302	0.2376461067
303	0.2372177515
304	0.2369742141
305	0.2366916973
306	0.2364454179
307	0.2362580782
308	0.2359506663
309	0.235722283
310	0.2354059754
311	0.2352160067
312	0.2347601122
313	0.2344524965
314	0.2341175609
315	0.2338430703
316	0.2335852973
317	0.2333220242
318	0.2331091135
319	0.232839423
320	0.232462372
321	0.2321757375
322	0.2319764927
323	0.2317075324
324	0.2314992479
325	0.2312496043
326	0.2309800611
327	0.2306154069
328	0.2302346964
329	0.230084189
330	0.2298352564
331	0.2295872488
332	0.2293288321
333	0.2290062422
334	0.2287708721
335	0.2285374553
336	0.2282447261
337	0.2280957305
338	0.2276947223
339	0.2273395614
340	0.2271668756
341	0.226921588
342	0.2266876145
343	0.2264280798
344	0.2261428098
345	0.2259519353
346	0.2256918317
347	0.2254176931
348	0.2252324662
349	0.2249507612
350	0.2247607177
351	0.224448386
352	0.2241054497
353	0.2238395313
354	0.2235283075
355	0.2233039441
356	0.2230832553
357	0.2226817553
358	0.2224581226
359	0.2221276909
360	0.2218821433
361	0.2217219556
362	0.2213689396
363	0.2210174082
364	0.2207394104
365	0.2203724887
366	0.2200460427
367	0.2196807351
368	0.2194976274
369	0.219261013
370	0.2191154758
371	0.2188637303
372	0.2186355433
373	0.2182966131
374	0.2180910738
375	0.2178024616
376	0.2176178136
377	0.2173880905
378	0.2170732543
379	0.2167412935
380	0.216453567
381	0.2160977482
382	0.2158644124
383	0.2156857612
384	0.2154813954
385	0.2152423914
386	0.2148671606
387	0.2145563053
388	0.2142775013
389	0.2140282629
390	0.2138998746
391	0.2134886634
392	0.2133527575
393	0.2131006862
394	0.2128241911
395	0.2125829016
396	0.2123533571
397	0.2121505982
398	0.2118488761
399	0.2116030304
400	0.2112866262
401	0.2111349752
402	0.210866612
403	0.2106565754
404	0.2105038275
405	0.2101871888
406	0.2099936222
407	0.209716468
408	0.2093462865
409	0.2091222666
410	0.2089116978
411	0.2087120596
412	0.2084896054
413	0.2082568053
414	0.2079991591
415	0.2077444414
416	0.2075950781
417	0.2073677546
418	0.2072343918
419	0.20701071
420	0.2069180316
421	0.2067736179
422	0.2065938176
423	0.2063366904
424	0.2061229583
425	0.2058970007
426	0.205632966
427	0.2053383385
428	0.2050477636
429	0.2048737474
430	0.2046430063
431	0.2044220123
432	0.2041067777
433	0.2038298334
434	0.2035290573
435	0.2032027746
436	0.2029717782
437	0.2026697724
438	0.2022700417
439	0.201965871
440	0.2017799151
441	0.2015183254
442	0.201279777
443	0.2010462406
444	0.2008303824
445	0.2006366455
446	0.2004607608
447	0.2000964173
448	0.1998528601
449	0.1995656726
450	0.1991905045
451	0.1989418892
452	0.1988258174
453	0.1985115812
454	0.19826931
455	0.1980912464
456	0.197913154
457	0.1976573571
458	0.1973914745
459	0.1971068956
460	0.1969493964
461	0.1967678022
462	0.1966374215
463	0.1963877913
464	0.1961905245
465	0.1959786235
466	0.1958510069
467	0.1956536927
468	0.1954323697
469	0.1952299341
470	0.1950394278
471	0.1948260549
472	0.1946819151
473	0.1944820351
474	0.1943313037
475	0.194131902
476	0.1939263444
477	0.1938086454
478	0.1936416354
479	0.1933939935
480	0.1932333719
481	0.192871729
482	0.1927158659
483	0.1924965467
484	0.1922313423
485	0.1921245259
486	0.1920066061
487	0.1918415397
488	0.1916415454
489	0.1913945113
490	0.1911845664
491	0.1909564377
492	0.1906642222
493	0.1904273645
494	0.1902575031
495	0.1900287103
496	0.1898324523
497	0.1895377077
498	0.1893586776
499	0.1891154949
